date,klimastreik,klima,streik
2019-04-19,0,0,0
2019-04-20,0,1,0
2019-04-21,0,3,0
2019-04-22,0,0,0
2019-04-23,1,5,1
2019-04-24,0,6,1
2019-04-25,0,5,0
2019-04-26,0,3,3
2019-04-27,1,3,1
2019-04-28,0,6,0
2019-04-29,1,4,1
2019-04-30,2,7,2
2019-05-01,0,9,5
2019-05-02,0,4,1
2019-05-03,0,3,1
2019-05-04,0,2,0
2019-05-05,0,4,0
2019-05-06,0,6,0
2019-05-07,0,4,0
2019-05-08,0,5,0
2019-05-09,0,7,0
2019-05-10,2,12,5
2019-05-11,0,7,1
2019-05-12,0,6,1
2019-05-13,1,8,1
2019-05-14,1,8,7
2019-05-15,1,11,1
2019-05-16,2,11,3
2019-05-17,0,8,1
2019-05-18,0,6,3
2019-05-19,2,4,2
2019-05-20,1,3,3
2019-05-21,0,7,0
2019-05-22,0,3,0
2019-05-23,0,1,0
2019-05-24,3,10,5
2019-05-25,0,4,0
2019-05-26,0,6,1
2019-05-27,0,1,1
2019-05-28,1,13,2
2019-05-29,0,6,0
2019-05-30,0,2,0
2019-05-31,0,2,0
2019-06-01,0,6,0
2019-06-02,1,6,1
2019-06-03,0,3,2
2019-06-04,0,4,0
2019-06-05,1,7,3
2019-06-06,0,11,0
2019-06-07,1,10,5
2019-06-08,0,4,2
2019-06-09,0,2,1
2019-06-10,0,5,3
2019-06-11,0,4,2
2019-06-12,0,6,3
2019-06-13,2,11,8
2019-06-14,1,10,34
2019-06-15,2,2,3
2019-06-16,0,3,4
2019-06-17,0,4,5
2019-06-18,0,8,1
2019-06-19,2,8,6
2019-06-20,1,9,2
2019-06-21,1,10,3
2019-06-22,2,9,5
2019-06-23,0,4,1
2019-06-24,0,14,0
2019-06-25,0,11,2
2019-06-26,1,12,1
2019-06-27,0,8,0
2019-06-28,1,6,3
2019-06-29,0,13,0
2019-06-30,0,6,0
2019-07-01,0,3,1
2019-07-02,0,7,0
2019-07-03,0,6,3
2019-07-04,2,13,3
2019-07-05,0,4,0
2019-07-06,1,4,2
2019-07-07,0,2,0
2019-07-08,0,2,0
2019-07-09,0,4,1
2019-07-10,1,9,1
2019-07-11,0,11,1
2019-07-12,0,2,0
2019-07-13,0,3,1
2019-07-14,0,3,1
2019-07-15,0,0,0
2019-07-16,0,8,0
2019-07-17,1,7,1
2019-07-18,0,2,1
2019-07-19,0,6,0
2019-07-20,0,3,0
2019-07-21,0,1,0
2019-07-22,0,3,1
2019-07-23,0,5,0
2019-07-24,1,4,2
2019-07-25,0,3,0
2019-07-26,1,10,2
2019-07-27,0,2,0
2019-07-28,0,2,0
2019-07-29,0,8,1
2019-07-30,0,6,0
2019-07-31,1,3,1
2019-08-01,0,5,0
2019-08-02,0,5,0
2019-08-03,2,5,3
2019-08-04,0,2,0
2019-08-05,0,6,1
2019-08-06,0,4,0
2019-08-07,0,3,1
2019-08-08,0,1,0
2019-08-09,0,6,0
2019-08-10,0,6,0
2019-08-11,0,3,0
2019-08-12,0,3,0
2019-08-13,0,8,0
2019-08-14,0,1,3
2019-08-15,0,3,0
2019-08-16,0,5,0
2019-08-17,0,4,0
2019-08-18,0,0,0
2019-08-19,0,2,0
2019-08-20,1,5,1
2019-08-21,1,6,2
2019-08-22,1,11,1
2019-08-23,0,4,1
2019-08-24,0,4,0
2019-08-25,0,2,0
2019-08-26,0,5,3
2019-08-27,1,4,1
2019-08-28,0,4,0
2019-08-29,0,4,1
2019-08-30,0,3,3
2019-08-31,1,7,2
2019-09-01,0,3,0
2019-09-02,1,6,2
2019-09-03,0,6,2
2019-09-04,0,10,2
2019-09-05,1,3,1
2019-09-06,0,4,2
2019-09-07,1,3,1
2019-09-08,0,2,0
2019-09-09,3,10,3
2019-09-10,1,5,2
2019-09-11,1,5,2
2019-09-12,0,6,0
2019-09-13,0,7,0
2019-09-14,0,4,1
2019-09-15,0,1,1
2019-09-16,0,4,0
2019-09-17,0,4,0
2019-09-18,3,7,3
2019-09-19,1,4,1
2019-09-20,2,8,2
2019-09-21,1,4,1
2019-09-22,2,3,2
2019-09-23,2,5,2
2019-09-24,0,5,0
2019-09-25,1,12,1
2019-09-26,1,10,1
2019-09-27,1,8,1
2019-09-28,1,8,1
2019-09-29,0,1,0
2019-09-30,0,3,0
2019-10-01,0,3,0
2019-10-02,1,5,1
2019-10-03,0,5,1
2019-10-04,0,7,0
2019-10-05,0,3,0
2019-10-06,0,0,0
2019-10-07,0,1,0
2019-10-08,0,6,1
2019-10-09,0,5,0
2019-10-10,0,6,0
2019-10-11,2,10,3
2019-10-12,0,3,1
2019-10-13,0,1,0
2019-10-14,0,2,0
2019-10-15,1,8,1
2019-10-16,0,4,0
2019-10-17,0,12,1
2019-10-18,0,4,0
2019-10-19,0,6,0
2019-10-20,0,13,1
2019-10-21,1,12,3
2019-10-22,0,9,0
2019-10-23,0,4,1
2019-10-24,1,6,1
2019-10-25,0,4,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,1,2,4
2019-10-29,0,3,0
2019-10-30,0,5,1
2019-10-31,1,6,1
2019-11-01,0,5,0
2019-11-02,0,3,0
2019-11-03,0,1,0
2019-11-04,0,4,0
2019-11-05,0,1,0
2019-11-06,0,5,0
2019-11-07,1,6,3
2019-11-08,0,4,3
2019-11-09,2,7,2
2019-11-10,0,6,1
2019-11-11,0,3,1
2019-11-12,0,1,1
2019-11-13,0,4,0
2019-11-14,0,3,0
2019-11-15,1,4,2
2019-11-16,0,6,1
2019-11-17,0,1,2
2019-11-18,0,3,0
2019-11-19,1,6,3
2019-11-20,0,3,0
2019-11-21,0,4,0
2019-11-22,0,2,0
2019-11-23,2,5,2
2019-11-24,0,2,0
2019-11-25,1,8,1
2019-11-26,0,11,1
2019-11-27,1,5,1
2019-11-28,0,2,1
2019-11-29,1,1,2
2019-11-30,0,1,0
2019-12-01,0,0,0
2019-12-02,1,7,1
2019-12-03,1,5,1
2019-12-04,2,6,3
2019-12-05,1,3,3
2019-12-06,0,2,0
2019-12-07,0,2,0
2019-12-08,0,0,0
2019-12-09,0,1,0
2019-12-10,0,5,3
2019-12-11,0,4,0
2019-12-12,0,8,1
2019-12-13,0,12,0
2019-12-14,0,6,2
2019-12-15,0,1,1
2019-12-16,0,2,0
2019-12-17,0,6,1
2019-12-18,0,3,0
2019-12-19,0,5,2
2019-12-20,0,10,0
2019-12-21,2,5,3
2019-12-22,0,2,0
2019-12-23,0,3,0
2019-12-24,0,0,0
2019-12-25,0,0,0
2019-12-26,0,0,0
